Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/08/2023,3842861,69,1514182,68,203258,65,186940,68,30476,102,918426,100,7452,47
03/09/2023,3827656,69,1515155,68,201711,64,186197,68,29847,100,944406,102,7211,45
03/10/2023,3502339,63,1408909,63,182873,58,160550,58,28209,95,964271,105,6135,38
03/11/2023,2230530,73,821990,62,78979,73,88667,65,15493,91,842108,97,1796,35
03/12/2023,1773585,77,686039,69,75970,88,70403,75,16644,94,832873,103,1547,49
03/13/2023,3352388,60,1377045,61,179787,57,157310,57,26027,88,852961,93,6358,40
03/14/2023,3577250,64,1360497,61,189402,60,159031,58,26262,88,775384,84,6866,43
03/15/2023,3912366,70,1493605,67,205092,65,187128,68,29687,100,916918,100,7473,47
03/16/2023,3949788,71,1522248,68,209838,67,187573,68,30151,101,976134,106,7562,47
03/17/2023,3661519,66,1408472,63,199191,64,171443,62,28094,94,965113,105,6790,43
03/18/2023,2417873,79,921569,69,102021,95,101788,75,16828,99,924274,106,1839,36
03/19/2023,1894476,83,661736,67,82032,95,72936,77,16471,93,880371,109,1247,40
03/20/2023,3442589,62,1444823,64,191367,61,167256,61,26951,91,896248,97,6895,43
03/21/2023,3801084,68,1511670,67,213026,68,189925,69,29466,99,918684,100,7850,49
03/22/2023,3797399,68,1509096,67,202826,65,184321,67,29999,101,920292,100,7589,48
03/23/2023,3774396,68,1466839,65,200870,64,177877,65,29189,98,934634,101,7208,45
03/24/2023,3534300,63,1420346,63,188352,60,159574,58,27883,94,959147,104,6133,38
03/25/2023,2153554,70,784068,59,89101,83,82702,61,15556,92,830547,95,1765,35
03/26/2023,1939984,85,724870,73,83054,96,81819,87,16878,96,871824,108,1648,52
03/27/2023,3397258,61,1426226,64,192461,61,166543,60,26394,89,885237,96,6675,42
03/28/2023,3765920,68,1490842,67,207837,66,189294,69,28923,97,894984,97,7541,47
03/29/2023,3872948,70,1521968,68,208736,67,187520,68,29771,100,922903,100,7825,49
03/30/2023,3860289,69,1486845,66,200601,64,187344,68,29363,99,957635,104,7512,47
03/31/2023,3573735,64,1423686,64,184342,59,158879,58,28599,96,977962,106,6426,40
04/01/2023,2283533,72,842213,63,82140,72,88096,59,16428,98,856286,94,1520,30
04/02/2023,1949665,80,716880,72,76059,83,79027,77,17660,95,855422,99,1319,40
04/03/2023,3597785,65,1475017,67,182947,59,162370,57,27387,95,899177,96,7076,44
04/04/2023,3906882,70,1519740,70,200063,64,188769,66,29698,103,913561,97,7633,47
04/05/2023,3799965,68,1432322,66,205060,66,185283,65,29462,102,938533,100,7163,44
04/06/2023,3421271,61,1264311,58,193340,62,169192,59,27061,94,914933,97,6122,38
04/07/2023,3130675,56,1150222,53,187800,60,159262,56,23831,82,900772,96,4925,30
04/08/2023,2393347,76,882727,66,108740,95,99273,67,16256,97,872566,96,2393,47
04/09/2023,1855826,76,654259,66,98030,107,85620,83,19026,102,904505,104,1916,59
04/10/2023,3142740,56,1236634,57,191412,62,170713,60,24135,83,922582,98,6121,38
04/11/2023,3537843,63,1316710,60,210828,68,193831,68,27777,96,895251,95,7081,44
04/12/2023,3576687,64,1311418,60,207802,67,191574,67,28326,98,890891,95,6863,42
04/13/2023,3628304,65,1311906,60,200072,64,183658,64,28451,98,939226,100,6668,41
04/14/2023,3471420,62,1294357,59,190858,61,173790,61,27514,95,989052,105,5869,36
04/15/2023,2365464,75,890050,67,99793,87,103902,70,16804,101,916008,100,1743,34
04/16/2023,1864753,77,728462,73,80318,88,85026,83,16835,90,881923,102,1309,40
04/17/2023,3418834,61,1438043,66,188445,61,167759,58,27611,95,897271,95,6926,43
04/18/2023,3862133,69,1526133,70,207882,67,194548,68,29658,103,929653,99,7879,49
04/19/2023,3927706,70,1530452,70,206116,66,195085,68,30829,107,952981,101,7889,49
04/20/2023,4002433,72,1520258,70,208664,67,189699,66,30106,104,1014633,108,7577,47
04/21/2023,3492257,63,1310737,60,195442,63,174727,61,27777,96,994549,106,6005,37
04/22/2023,2506140,79,893014,67,106134,93,106032,71,16865,101,931077,102,1715,34
04/23/2023,1923243,79,673668,68,87793,96,79003,77,15947,85,880726,102,1326,41
04/24/2023,3561262,64,1466762,67,196593,63,173997,61,27254,94,911973,97,7020,43
04/25/2023,3956922,71,1529162,70,216767,70,192115,67,29504,102,927611,99,7806,48
04/26/2023,3994837,72,1531476,70,216097,70,191885,67,30191,104,947254,101,7758,48
04/27/2023,3999831,72,1506783,69,216674,70,184365,64,29969,104,981809,104,7564,47
04/28/2023,3703088,66,1424078,65,195436,63,160861,56,28306,98,996548,106,6441,40
04/29/2023,2179978,69,715608,54,85167,75,77009,52,15688,94,832504,91,1871,37
04/30/2023,1744098,72,578075,58,75065,82,65334,63,15451,83,786171,91,1355,42
05/01/2023,3664755,64,1465598,64,188566,59,167178,58,27445,93,922971,96,6960,40
05/02/2023,3961858,69,1498566,66,211550,66,197217,69,29472,100,916459,95,7749,45
05/03/2023,4030601,70,1533714,67,209450,66,195363,68,30850,105,940822,98,7862,45
05/04/2023,3985001,70,1497427,66,206323,65,189538,66,30449,104,966836,100,7417,43
05/05/2023,3759375,66,1450598,64,200675,63,170610,60,28952,98,1011491,105,6514,37
05/06/2023,2563102,80,934630,67,111525,94,103318,69,18349,106,976630,102,2584,53
05/07/2023,2033790,85,705419,73,92076,94,83007,80,17822,105,902067,106,2705,77
05/08/2023,3563340,62,1460932,64,198056,62,180789,63,27771,94,935045,97,7196,41
05/09/2023,3925555,69,1524892,67,221290,69,205069,72,29923,102,955033,99,7827,45
05/10/2023,4014009,70,1528140,67,221747,69,203414,71,31360,107,981586,102,7998,46
05/11/2023,4015942,70,1535264,67,210683,66,201006,70,30899,105,1016578,106,7619,44
05/12/2023,3723192,65,1436385,63,201367,63,185027,65,29397,100,1043802,108,6629,38
05/13/2023,2487178,77,918257,66,113810,96,109940,73,18340,106,1008311,105,1973,41
05/14/2023,1926966,81,690606,72,102178,105,101088,97,20222,119,981015,115,1654,47
05/15/2023,3553443,62,1440741,63,201209,63,184909,65,25892,88,947897,98,6956,40
05/16/2023,4002015,70,1519397,67,227489,71,207484,72,29747,101,965091,100,7930,46
05/17/2023,4104786,72,1518546,67,223059,70,206630,72,30423,103,985531,102,7118,41
05/18/2023,4082154,71,1492657,66,218955,69,198433,69,29842,101,1008886,105,7530,43
05/19/2023,3789929,66,1431269,63,208310,65,181114,63,28381,97,1024064,106,6362,37
05/20/2023,2314672,72,760830,55,102957,87,95625,63,16570,96,888784,93,1970,41
05/21/2023,2132724,89,727850,76,103484,106,91335,88,17545,103,959948,113,1919,55
05/22/2023,3571748,62,1446015,64,203122,64,186008,65,27038,92,942741,98,6935,40
05/23/2023,3929003,69,1500973,66,219619,69,214621,75,29538,100,953703,99,7928,46
05/24/2023,3960264,69,1499943,66,219886,69,208487,73,30495,104,983724,102,7667,44
05/25/2023,3859385,67,1459601,64,215946,68,201855,71,29311,100,1007341,105,7183,41
05/26/2023,3496511,61,1370252,60,207347,65,187188,65,27037,92,994185,103,5747,33
05/27/2023,2375741,74,848442,61,116439,98,120011,80,16731,97,925766,97,2913,60
05/28/2023,2029088,85,707787,73,102985,106,102009,98,17527,103,906089,106,2426,69
05/29/2023,1952779,82,758893,79,99456,102,86149,83,12121,71,836613,98,2520,72
05/30/2023,3714864,65,1438285,63,227623,71,205661,72,27645,94,959824,100,7398,43
05/31/2023,3911382,68,1480801,65,229227,72,211998,74,30078,102,971602,101,7691,44
06/01/2023,3894167,69,1457503,68,210483,63,191410,65,30088,103,1006107,102,7152,44
06/02/2023,3626490,65,1399462,65,202543,61,170399,58,29570,101,1011244,103,6470,40
06/03/2023,2411704,75,899212,64,115723,94,102668,65,18118,105,958346,97,1837,36
06/04/2023,1988330,76,714218,66,103120,105,88859,81,18429,102,931347,101,1573,40
06/05/2023,3544106,63,1432156,67,200806,60,183510,62,27920,95,938818,95,6892,43
06/06/2023,3929131,70,1474317,69,218376,66,213292,72,29999,102,945555,96,7795,48
06/07/2023,3743889,67,1390834,65,212982,64,202951,69,31147,106,941798,96,7334,45
06/08/2023,3268529,58,1216291,57,189487,57,176985,60,27689,95,932162,95,5503,34
06/09/2023,3425232,61,1256670,58,214001,64,185677,63,25845,88,1005974,102,5482,34
06/10/2023,2608756,81,892936,64,139304,113,117616,74,17996,104,991238,101,1978,39
06/11/2023,2075651,79,695200,64,106971,109,98115,90,17958,99,976811,106,1582,41
06/12/2023,3479404,62,1394575,65,202015,61,185343,63,27520,94,939370,96,6744,42
06/13/2023,3968160,71,1500122,70,233588,70,212364,72,30441,104,971010,99,7850,48
06/14/2023,3893073,69,1434687,67,235667,71,207746,70,30661,105,971437,99,7234,45
06/15/2023,3928393,70,1475300,69,228608,69,206188,70,31298,107,1028832,105,7390,46
06/16/2023,3395938,61,1300751,61,214883,65,177916,60,28693,98,1025514,104,5960,37
06/17/2023,2399521,74,872453,62,138654,113,111460,70,17967,104,1000053,102,2632,52
06/18/2023,1977582,76,707615,65,119996,122,95597,88,19384,107,971860,105,2029,52
06/19/2023,2636887,101,1075747,99,196645,200,168591,154,17494,97,964071,104,4094,105
06/20/2023,3782810,67,1434258,67,235806,71,224371,76,29482,101,979074,100,7540,47
06/21/2023,3902298,70,1430476,67,242162,73,221141,75,31019,106,999201,102,7551,47
06/22/2023,3782472,67,1367709,64,233588,70,208969,71,29220,100,1013372,103,6956,43
06/23/2023,3470575,62,1282954,60,222283,67,188373,64,28619,98,1022942,104,6167,38
06/24/2023,2467994,77,844674,60,128075,104,109217,69,16937,98,951605,97,2551,50
06/25/2023,2222704,85,689020,63,123527,125,113238,104,17103,95,948428,103,2248,58
