Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
10/16/2023,3661144,64,1381665,61,228147,73,203627,70,29453,99,925864,100,7735,43
10/17/2023,4021342,70,1439468,64,243917,78,222110,76,31921,107,944335,102,8354,47
10/18/2023,4074460,71,1440292,64,236072,75,213952,74,33615,113,948559,102,8356,47
10/19/2023,4121563,72,1440111,64,234999,75,212946,73,32909,111,986310,106,8148,46
10/20/2023,3616336,63,1232782,55,222385,71,192383,66,29766,100,961759,104,6272,35
10/21/2023,2438387,73,793917,57,113139,100,101963,67,17530,99,907106,96,2464,54
10/22/2023,1983271,81,678536,68,98471,108,93659,89,18954,103,928307,110,2021,54
10/23/2023,3667240,64,1375311,61,221569,70,199199,68,29261,98,925334,100,7615,43
10/24/2023,4040571,70,1431006,63,241544,77,218201,75,31757,107,932897,101,8176,46
10/25/2023,4120011,72,1443766,64,237292,75,217420,75,32821,110,947018,102,8368,47
10/26/2023,4142420,72,1431016,63,242021,77,215171,74,32549,109,985290,106,8147,46
10/27/2023,3853546,67,1348576,60,229895,73,203068,70,31164,105,1027312,111,6705,38
10/28/2023,2743759,82,874941,63,124172,109,139276,91,20126,114,1019478,108,2995,66
10/29/2023,1834459,75,589929,59,86843,95,80705,77,18145,99,871500,103,1766,47
10/30/2023,3623778,63,1314380,58,225140,72,197550,68,29075,98,893690,96,7287,41
10/31/2023,4016482,70,1334020,59,224816,72,203951,70,30712,103,873724,94,7789,44
11/01/2023,4043524,72,1369637,63,226067,69,208249,73,32374,104,927384,98,8010,47
11/02/2023,4082807,72,1380510,63,231370,70,206350,72,32242,103,953269,101,7997,47
11/03/2023,3808235,68,1307247,60,218703,67,193580,68,31816,102,980512,104,6755,40
11/04/2023,2588115,82,832986,63,122433,106,123922,82,19920,118,945189,104,2582,74
11/05/2023,2310457,92,614666,62,109258,116,109891,106,16889,90,791269,96,3407,111
11/06/2023,3686141,65,1349481,62,225898,69,198934,70,30167,97,923453,98,7474,44
11/07/2023,3655078,65,1270763,58,238656,73,215344,75,30843,99,891546,94,6785,40
11/08/2023,4066029,72,1401268,64,238727,73,213738,75,33515,107,937630,99,8306,49
11/09/2023,4020939,71,1376822,63,235844,72,210130,73,32982,106,980310,104,7929,47
11/10/2023,3611367,143,1250528,126,224512,237,200669,193,25506,135,974996,118,5596,182
11/11/2023,2588540,82,817146,62,122170,106,118398,78,18654,110,939492,103,2712,78
11/12/2023,1947270,77,642431,64,99171,105,91623,88,19187,102,891716,108,1958,64
11/13/2023,3597029,64,1320693,60,225204,69,194691,68,30479,98,907109,96,7353,43
11/14/2023,3991767,71,1382768,63,235487,72,214218,75,33027,106,921728,98,8271,49
11/15/2023,4036442,72,1389217,63,235718,72,214486,75,34166,109,941983,100,8322,49
11/16/2023,4048862,72,1391273,64,235070,72,207671,73,34102,109,978274,104,8010,47
11/17/2023,3741391,66,1303240,60,227909,69,201231,70,31496,101,999520,106,6792,40
11/18/2023,2477547,78,831053,63,124053,108,120273,80,19452,115,946515,104,2630,76
11/19/2023,1943926,77,657965,66,100792,107,100924,97,19835,105,867625,105,2058,67
11/20/2023,3647283,65,1300978,59,228502,70,203599,71,30889,99,925548,98,7426,44
11/21/2023,3774952,67,1254277,57,236079,72,213162,74,32139,103,977248,104,7467,44
11/22/2023,3378351,60,1160847,53,254968,78,220030,77,28409,91,985528,104,6524,38
11/23/2023,1628385,65,471662,47,116969,124,107690,103,21741,115,898291,109,2257,74
11/24/2023,2457591,97,807221,81,215833,228,197178,189,15381,82,818916,99,3718,121
11/25/2023,2123590,67,696466,53,124716,108,117682,78,14245,84,866561,95,2454,71
11/26/2023,1686490,67,566395,57,101486,107,95729,92,16900,90,864505,105,1834,60
11/27/2023,3523494,63,1253990,57,228127,69,200017,70,29418,94,921303,98,7294,43
11/28/2023,3916476,69,1279327,58,234794,72,216450,76,31716,102,914381,97,7835,46
11/29/2023,4032882,72,1268990,58,234738,71,212929,74,32809,105,915384,97,7851,46
11/30/2023,4072271,72,1340370,61,236142,72,210592,74,32650,105,945909,100,7737,45
12/01/2023,3723171,70,1226677,61,185151,59,164628,59,31284,107,947287,107,6432,41
12/02/2023,2748170,83,826725,65,126374,99,125483,80,19675,114,903346,102,2618,53
12/03/2023,1827959,72,553618,57,87340,82,76999,72,18450,103,778118,98,1633,48
12/04/2023,3709458,69,1312507,66,223257,71,201080,72,30841,106,900224,102,7559,48
12/05/2023,3991835,75,1346216,67,243329,77,224065,80,33235,114,914419,103,7964,51
12/06/2023,4116059,77,1350594,67,230920,73,211076,76,33502,115,936802,106,7951,51
12/07/2023,4088438,77,1314833,66,231114,73,204586,73,32511,112,960536,108,7424,48
12/08/2023,3863961,72,1261796,63,225208,71,198539,71,31875,109,972091,110,6435,41
12/09/2023,2922085,88,828894,65,156237,122,147745,94,20580,119,944411,107,3181,64
12/10/2023,1838048,72,539117,55,90884,85,82225,77,17542,98,779314,98,1648,49
12/11/2023,3642743,68,1213923,61,219022,69,191110,69,29271,100,894318,101,6949,45
12/12/2023,4051574,76,1309303,65,236348,75,219393,79,33458,115,935591,106,7655,49
12/13/2023,4067457,76,1314167,66,238451,75,215546,77,34323,118,959767,108,7859,50
12/14/2023,4122091,77,1296909,65,236516,75,213415,77,33406,115,988876,112,7414,48
12/15/2023,3845234,72,1246465,62,235800,75,208572,75,32517,112,1011336,114,6540,42
12/16/2023,2866544,86,814457,64,149340,117,149013,95,20483,119,972314,110,3085,62
12/17/2023,1954707,77,569005,58,96415,90,88502,82,18445,103,809015,102,1787,53
12/18/2023,3314782,62,1082334,54,201289,64,174850,63,28309,97,809201,91,5381,34
12/19/2023,3912934,73,1275002,64,244031,77,213625,77,32542,112,946648,107,7555,48
12/20/2023,3838407,72,1245547,62,236060,75,206420,74,33205,114,964384,109,7363,47
12/21/2023,3675448,69,1200899,60,229252,73,199411,71,31713,109,976632,110,6860,44
12/22/2023,3372318,63,1110555,55,231036,73,206169,74,29324,101,979372,111,5878,38
12/23/2023,2244175,68,708808,56,139904,109,130053,83,17627,102,876791,99,2700,54
12/24/2023,1657096,65,549448,56,92540,87,77874,72,20241,114,793031,100,1912,56
12/25/2023,1273729,50,381879,39,80587,76,65350,61,14750,83,748318,94,1668,49
12/26/2023,2668642,50,906670,45,219149,69,192910,69,20706,71,867072,98,5158,33
12/27/2023,2912007,55,955890,48,220010,70,186541,67,25945,89,881140,99,5373,34
12/28/2023,3064841,57,969231,48,218546,69,193235,69,26462,91,887521,100,5395,35
12/29/2023,3198885,60,1007697,50,237781,75,210361,75,26892,92,909062,103,5784,37
12/30/2023,2440211,74,720564,57,121688,95,121647,77,16983,99,833538,94,2780,56
12/31/2023,1934651,76,548344,56,99817,94,89554,83,20005,112,671873,84,2029,60
