name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2023-01-30,12.8,5.1,8.2,12.8,3.7,7.2,2,65.4,0,0,0,,0,0,31.7,14.7,253.5,1020.8,23.1,16,108.1,9.3,5,10,2023-01-30T07:08:08,2023-01-30T17:11:01,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-01-31,8.4,1.1,3.9,6.9,-3.9,1.6,-2.8,63.1,0.318,100,16.67,rain,0,0,79.6,20.2,8.3,1022,99.4,15.9,36.2,3.1,2,10,2023-01-31T07:07:13,2023-01-31T17:12:15,0.33,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-01,4.9,-1.7,1.2,2.1,-6.8,-2.3,-8,53.2,0.038,100,8.33,"rain,snow",0.9,0,47.9,21.6,9.9,1024.6,50.4,15.6,130.2,11.1,6,10,2023-02-01T07:06:16,2023-02-01T17:13:29,0.36,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-02,4.9,-1.2,1.8,1.5,-4.2,-1.8,-9.4,44.2,0.23,100,4.17,rain,0,0,87.1,23.3,257.5,1020.2,2.3,16,136.5,11.6,6,10,2023-02-02T07:05:17,2023-02-02T17:14:44,0.4,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-03,2.1,-10.1,-3.3,-0.4,-14.8,-7.5,-13.6,45.5,0.469,100,4.17,snow,0,0,63.3,25.2,286.6,1017.1,33.1,16,148.1,12.7,6,10,2023-02-03T07:04:17,2023-02-03T17:15:58,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-04,-2.8,-14.2,-8.3,-8.2,-23.4,-13.7,-18.2,45.7,0,0,0,,0,0,60.8,28.8,262,1034.4,17.5,16,146,12.6,6,10,2023-02-04T07:03:15,2023-02-04T17:17:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-05,9.3,-2.8,3.5,9.3,-8.4,0.8,-5.7,52.2,0,0,0,,0,0,66.6,21.3,237.3,1022.6,2.5,16,115.8,10,5,10,2023-02-05T07:02:11,2023-02-05T17:18:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-06,11.6,2.8,6.7,11.6,0.1,5.4,-1.3,57.9,0.46,100,8.33,rain,0,0,73.5,20.2,30.5,1017.1,42.6,16,105.8,9.2,6,10,2023-02-06T07:01:06,2023-02-06T17:19:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-07,5.6,0.5,3,3.8,-3.9,0.1,-3.9,61.1,0.019,100,4.17,rain,0,0,72,25.1,144.5,1025.7,16.5,16,102,8.8,5,10,2023-02-07T06:59:59,2023-02-07T17:20:55,0.57,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-08,13.2,3.4,7.8,13.2,0.5,6.6,-1.2,56.4,0.474,100,12.5,rain,0,0,66.6,16.4,268.9,1022.6,13.7,15.8,148.3,12.8,6,10,2023-02-08T06:58:51,2023-02-08T17:22:09,0.6,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-09,11.7,3.9,7.9,11.7,2.7,7.3,2.7,69.7,0,0,0,,0,0,89.6,14.8,155.1,1021.3,65.6,16,30.9,2.6,1,10,2023-02-09T06:57:41,2023-02-09T17:23:23,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-10,15.5,7.9,12.7,15.5,5.6,12.4,2.7,52.9,0,0,0,,0,0,74.6,21.7,266.7,1012.2,16.8,15.9,151.7,13,6,10,2023-02-10T06:56:30,2023-02-10T17:24:37,0.67,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-11,9.2,3.3,6,7.5,0.3,4,-6.3,41.7,0,0,0,,0,0,50,20,277.5,1023.9,9.7,16,159.8,13.6,6,10,2023-02-11T06:55:17,2023-02-11T17:25:50,0.7,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-12,7.9,2.3,5.1,7.9,0.1,3.2,-3.6,54.1,0.019,100,4.17,rain,0,0,31.4,23.7,352.4,1018.2,25,16,69.9,6,3,10,2023-02-12T06:54:04,2023-02-12T17:27:04,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-13,13.9,5,9,13.9,0.9,7.8,-6.5,34,0.235,100,4.17,rain,0,0,66.6,25.4,308.4,1003.4,38.4,16,152.5,12.9,6,10,2023-02-13T06:52:48,2023-02-13T17:28:17,0.75,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
